,Sl. No,Session,RaceNo,DriverNumber,LapTime,LapNumber,SpeedI1,SpeedI2,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,GridNo
181,,FP2,3,22,0 days 00:01:20.424000,15,275,315,,TRUE,SOFT,7,TRUE,2,AlphaTauri,TSU,1,12
177,,FP2,3,44,0 days 00:01:20.521000,10,277,309,313,TRUE,SOFT,3,TRUE,2,Mercedes,HAM,2,13
183,,FP2,3,18,0 days 00:01:20.611000,9,280,306,313,TRUE,SOFT,2,TRUE,2,Aston Martin,STR,1,14
179,,FP2,3,24,0 days 00:01:21.063000,15,275,313,310,TRUE,SOFT,7,TRUE,3,Alfa Romeo,ZHO,1,15
182,,FP2,3,20,0 days 00:01:21.191000,12,276,315,314,TRUE,SOFT,4,TRUE,2,Haas F1 Team,MAG,1,16
180,,FP2,3,23,0 days 00:01:21.912000,9,279,314,314,TRUE,SOFT,2,TRUE,2,Williams,ALB,1,17
176,,FP2,3,47,0 days 00:01:21.974000,12,273,314,312,TRUE,SOFT,6,TRUE,2,Haas F1 Team,MSC,1,18
188,,FP2,3,6,0 days 00:01:22.307000,9,275,316,315,TRUE,SOFT,2,TRUE,2,Williams,LAT,1,19
208,,FP3,3,4,0 days 00:01:19.117000,9,280,300,315,TRUE,SOFT,2,TRUE,4,McLaren,NOR,1,1
203,,FP3,3,16,0 days 00:01:19.249000,14,279,299,307,TRUE,SOFT,3,TRUE,4,Ferrari,LEC,1,2
205,,FP3,3,11,0 days 00:01:19.265000,16,282,306,321,TRUE,SOFT,8,FALSE,3,Red Bull Racing,PER,1,3
204,,FP3,3,14,0 days 00:01:19.275000,14,280,305,319,TRUE,SOFT,6,FALSE,4,Alpine,ALO,1,4
194,,FP3,3,55,0 days 00:01:19.419000,12,282,297,309,TRUE,SOFT,12,FALSE,4,Ferrari,SAI,1,5
209,,FP3,3,3,0 days 00:01:19.693000,10,278,291,312,TRUE,SOFT,2,TRUE,4,McLaren,RIC,1,6
193,,FP3,3,1,0 days 00:01:19.809000,10,280,302,320,TRUE,MEDIUM,10,FALSE,3,Red Bull Racing,VER,1,7
196,,FP3,3,44,0 days 00:01:19.896000,10,276,295,309,TRUE,SOFT,7,TRUE,2,Mercedes,HAM,1,8
211,,FP3,3,77,0 days 00:01:20.008000,15,,304,312,TRUE,SOFT,5,TRUE,5,Alfa Romeo,BOT,1,9
200,,FP3,3,22,0 days 00:01:20.071000,9,276,300,316,TRUE,SOFT,2,TRUE,2,AlphaTauri,TSU,1,10
